title,abstract,publication_date,url
Topological Properties of International Commodity Market: How Uncertainty Affects the Linkages?,"ABSTRACT The study aims to explore the network topology of the international commodity market by examining the interconnections among 21 commodity futures across various categories, including energy, precious and industrial metals, and agriculture. We analyze the market structure of these commodity futures under both low and high uncertainty conditions to assess whether uncertainty impacts the commodity market structure. To do this, we employ the Minimal Spanning Tree (MST) and Hierarchical Tree (HT) methods. Our empirical findings, based on data from January 2014 to March 2023, reveal that energy commodities are not positioned at the center of the market; rather, agricultural commodities take this central role. In terms of uncertainty, the commodity market topology during periods of high uncertainty is more integrated than during times of low uncertainty, indicating that higher uncertainty leads to a more synchronized movement of commodities. These insights provide valuable guidance for traders, investors, and policymakers.",2025-03-22,
The Determinants of Marginal Convenience Yield in Agricultural Commodity Markets,"Abstract We report a significant downward trend in the convenience yield for holding physical inventory in agricultural commodity futures markets, attributing this negative trend to speculative demand shocks, which in turn, leads in decreasing agricultural convenience yields. Moreover, agricultural convenience yields appear negative on average during the recent financialization (of commodities) period. We additionally show that the response of agricultural convenience yields to commodity price uncertainty and supply shocks is much less pronounced in magnitude and persistence compared to that of hedging demand shocks. Overall, our analysis verifies the Keynesian theory of normal backwardation by showing a long‐lasting positive response of agricultural convenience yields to a hedging demand shock, thereby leaving the hedging demand as the most significant factor explaining the less frequently observed backwardations in agricultural futures markets.",2025-01-14,
Is corn still king? Unravelling time-varying interactions among soft commodities,"Abstract This paper explores correlation dynamics among agricultural commodities, crucial for risk mitigation and portfolio management, particularly within volatile soft commodities. Previous studies have found a significant increase in correlations among soft commodities, with corn found to exhibit the largest correlation with other commodities Recently, soft commodities have experienced both increasing price volatility and increasing liquidity. This paper examines twelve commodities from January 2013 to September 2023 using a dynamic connectedness framework. The results confirm agricultural commodity market integration as a high level of interconnectedness is found. Soybeans, canola and corn are found, on average, to be the net transmitters of volatility in the network, with corn being the only commodity to remain a net transmitter with positive net directional connectedness values for the full sample period. The influencing role of corn on soft commodity price volatility is therefore confirmed. Coffee and wheat are also found to be net transmitters of volatility. Significantly, the paper underscores the growing influence of edible oils like canola, palm oil and soybean oil in network analyses, a contribution yet to be documented. Given the diverse industrial and cross-sector applications of these commodities as raw materials, these findings have important implications for various stakeholders across agribusinesses, as well as for both hedgers and speculators active in commodity futures markets.",2025-01-11,
"Macroeconomic Conditions, Speculation, and Commodity Futures Returns","This paper examines the dynamic relationships between speculative activities, commodity returns, and macroeconomic conditions across five sectors compassing 29 commodities. Using weekly data spanning from January 2000 to July 2023, we construct comprehensive measures of commodity market speculation across five sectors and examine their sector-specific impact on returns through advanced econometric methods, including dynamic conditional correlation models, quantile regressions, Markov-switching models, and time-varying Granger causality tests. Our results reveal that the impact of speculative activities on commodity futures returns is conditional on the commodity sector and prevailing macroeconomic conditions. Moreover, the relationship between macroeconomic factors, speculative activities, and commodity futures returns is time varying. Among the macroeconomic variables, the financial stress indicator, as measured by the St. Louis Fed Financial Stress Index, shows a significant ability to predict commodity futures returns. The relationship between speculation and commodity returns is bi-directional across all sectors.",2025-01-08,
Term Structure and Risk Premiums of Commodity Futures With Linear Regressions,"ABSTRACT We apply the regression‐based affine term structure model to estimate the term structure of commodity futures. This model is advantageous in that it has a simple and fast algorithm, can accommodate a variety of observable and unspanned factors, and can be applied to daily and even real‐time observations. The results show that the model appropriately captures time‐series variations across different maturities and exhibits satisfactory performance in capturing cross‐sectional variations for specific months. Furthermore, we investigate the relationship between the existing commodity risk factor returns and the risk premiums inferred by the model. Our analysis reveals that different risk factor returns explain the spot and term premiums differently. Therefore, using the advantages of the model, we can better understand the term structure and risk premiums in commodity futures.",2024-12-24,
Uma investigação sobre a influência da negociação de contratos futuros na volatilidade do preço à vista do açúcar,"O Brasil desempenha um papel crucial no mercado global de açúcar, sendo o principal produtor e exportador. Este estudo investiga o impacto do volume de negociação dos contratos futuros de açúcar na volatilidade dos preços à vista, abordando a relação entre os mercados futuros e à vista de commodities através da análise do volume de contratos negociados e em aberto do Sugar No 11 e o indicador do açúcar cristal branco à vista estipulado pelo CEPEA/ESALQ/USP. Utilizando testes de Causalidade de Granger e análise da variância do erro de previsão, a pesquisa analisa dados da década de 2012-2022. Os resultados indicam a ausência de evidências estatísticas suficientes para rejeitar a hipótese nula de falta de causalidade Granger. Isso sugere que, nas diferentes defasagens consideradas, não se pode afirmar com confiança a presença de causalidade temporal entre as séries analisadas.",2024-08-14,
Did grain futures prices overreact to the Russia–Ukraine war due to herding?,"We study the impact of the 2022 Russian invasion of Ukraine on grain futures prices. The war allows us to evaluate whether commodity futures markets at the time were driven by investor herding. Using event study methods, we find that wheat futures prices rose by 35 percent above the counterfactual until the EU Solidarity Lanes were announced, more than corn futures prices, which were up 16 percent. This relative price response cannot be explained by herding behavior. Furthermore, prices for control commodities did not respond to the war at all, contradicting the herding theory. There is no statistical evidence of abnormal speculative pressure in the market around the time of the invasion, and we conclude the markets put a fair price on the wartime risk of Black Sea grain shipment disruptions.",2024-08-07,
How Much Bitcoin Should We Allocate to the Portfolio?,"A comparative analysis between 2013-2017 and 2018-2023 reveals a significant transformation in Bitcoin and cryptocurrency investments.In the earlier phase, methods like the Markowitz Model suggested significant allocation to Bitcoin due to its high returns, diversification benefits, and low correlation with other assets.However, with the financialization of Bitcoin in December 2017, the cryptocurrency market underwent a fundamental shift, integrating into the mainstream financial system and increasing its correlation with traditional assets.In the subsequent period from 2018 to 2023, Bitcoin emerged as an average asset class with relatively high risk compared to others.Given these changes and increased institutional interest, our analysis suggests it's prudent to cap allocation to Bitcoin to maximally 2-3% of the portfolio.The analysis highlights the need for caution and realistic expectations when interpreting historical data and extrapolating long-term conclusions.",2024-06-05,
"COVID-19 pandemic, oil prices and Saudi stock market: empirical evidence from ARDL modeling and Bayer–Hanck cointegration approach","Abstract In 2020, the world experienced several significant events, including the coronavirus (COVID-19) pandemic and the collapse of international crude oil prices. The rapid spread of this pandemic has dramatic impacts on financial markets all over the world, thereby increasing market risk aversion in an unprecedented way since the subprime financial crisis. The decline in stock markets implied volatilities of equity and oil prices, thereby heightening turmoil in global financial markets despite comprehensive and substantial financial reforms. To this end, we investigated the likely effects of this pandemic on the Saudi stock market while controlling for oil prices based on daily data for a period from 1/1/2020 to 19/9/2022. To ascertain the existence of a long-run equilibrium relationship between the variables, we applied autoregressive distributed lag (ARDL) modeling and the error correction model, with this ultimately revealing the existence of strong cointegration in the long run. The ARDL bounds test was found to be robust by combined cointegration tests, thus providing further evidence of a strong relationship in the long run. Granger causality tests also yielded evidence of causality between the variables in both directions. The total COVID-19 confirmed cases and oil prices also caused movements in stock returns in the short run. Our findings have some prominent implications for asset managers and policymakers to improve stock market efficiency and boost global economic activity. Saudi authorities can consequently remove the regulatory and legal obstacles to develop their stock market and better improve the risk management, which will allow to make quick decisions in response to any oil price volatilities. Policymakers should also adopt proactive strategies that can comfort stock investors’ anxieties over the increasing oil price volatilities. Finally, the findings should be treated with some cautions because of the limited sample size and the tests’ statistical inference. Nevertheless, they do open opportunities for further studies to look in more detail at how the COVID-19 pandemic affected, over the short and long run, monetary and fiscal policy coordination, financial stability, and various other macroeconomic indicators in Saudi Arabia.",2024-06-03,
Hedging basic materials equity portfolios using gold futures,"Commodities can be treated as an alternative investment, a hedging strategy, or a diversification opportunity. Various types of commodities, especially metals, usually are not strongly affected by inflation, and the trends of their prices are not correlated with other investment instruments. To participate in the metals area of the commodity market, an investor can buy shares of companies from the basic materials sector. Such companies are involved in discovering, developing, and processing raw materials. However, as not all the companies from the basic materials sector deal with precious metals, it is worth adding gold futures to such a portfolio. The aim of this paper is to compare a portfolio of the basic materials sector stocks against a similar portfolio hedged with gold. Our findings revealed that hedging a commodities’ portfolio with gold minimizes both profits and losses and can be suitable for risk-averse investors. The research results can be applied by individual investors and investment managers to choose the most appropriate investment approach.",2024-06-01,
