title,abstract,publication_date,url
AN ANALYTICAL STUDY ON STOCK FUTURES AND OPTIONS DERIVATIVES TRADING IN INDIA,"This study looks at financial derivatives, specifically options and futures. To protect against changes in the value of fundamental assets including stocks, bonds, commodities, currencies, and stock indexes, derivative tools are used. Since the Indian derivatives market is still relatively new and not well known to all investors, SEBI must take action to raise awareness of this industry. The market price of the underlying asset immediately affects an investor's profit or loss in the cash market, which could lead to significant gains or losses. Onthe other hand, investors can minimize their downside risk and make substantial profits through the derivatives market. Hedging is the primary usage of derivatives. SEBI should think about changing several rules, such as those pertaining to contract size and the participation of Foreign Institutional Investors (Flis) in the derivatives market, in order to promote the expansion of the Indian derivatives industry. All things considered, this study sheds light on the derivatives market. Keywords: Premium, Maturity Time, Strike Price, And Spot Price",2025-04-16,
COMMUNICATION STRATEGY OF UKRAINIAN BUSINESS EXPORTERS IN THE CONTEXT OF GEOPOLITICAL CHALLENGES,"The article provides a theoretical and methodological grounds for the communication strategy for exporters as an integral component of business promotion in the international market; systematizes the main determinants which influence the formation of a communication strategy, namely, target audience segmentation and profiling, optimal means of information transmission selection, key messages, assessment of the communication and marketing strategy effectiveness, including a set of measures ensuring clear, consistent and attractive communication. Besides, it analyzes the challenges and problems of Ukrainian exporters in the international market, including the imperfection of infrastructure, insufficient development of financial mechanisms to support exporters, the dependence of the dynamics of Ukrainian exports on changes in the world market conditions and high import dependence, currency fluctuations, political situation and changes in international trade agreements; presents analytical information on Ukrainian commodity exports in conditions of instability in the world markets of agricultural and metallurgical products. A certain set of tools for implementing an international communication strategy is proposed, in particular, participation in exhibitions, digital and content marketing, PR companies to build a positive image and of national product brands which emphasize USP and competitiveness in the foreign market. The article concludes that the communication strategy of Ukrainian business exporters requires a detailed study of local conditions, cultural, demographic, psychological and economic factors which give opportunity for a more accurate determination of international consumers needs and priorities, in other words, a strategic rethinking of export orientation policy and its adaptation in the context of geopolitical challenges.",2025-04-14,
DEVELOPMENT TRENDS OF INTERNATIONAL DERIVATIVES EXCHANGE TRADING IN THE CONDITIONS OF GLOBALIZATION,"The article highlights the close connection between the development of international exchange trading in derivative contracts and the processes of globalization and especially its negative consequences, in particular global events, such as military conflicts and trade wars, which are currently ongoing. It is noted that globalization, as a world-wide process, cannot be stopped, even if it has negative consequences. Today, globalization covers all spheres of economic activity of market participants at both the microeconomic and macroeconomic levels. It is noted that one of the important and key conditions of globalization is its close connection with the political situation and political sentiments of society around the world. In our opinion, the impact of globalization on public opinion and international derivatives trading directly depends on the political situation and political decisions of countries, which significantly affect the globalization process. The impact of globalization intensified at the end of the last century. It is revealed that the openness and transparency of economic relations between market participants at the global level creates tension and instability, which leads to high price volatility on international exchanges. It is noted that the main tools in the fight against price risks are exchange-traded derivative contracts for the main types of commodity and financial assets. It is noted that the main directions of development of international exchange trading in derivative contracts include: growth in trading volumes in futures and options contracts; increased demand for exchange instruments due to the continuation of the war in Ukraine and other geopolitical changes; creation of favorable conditions for financial security to guarantee the execution of exchange transactions; expansion of the spectrum of exchange brokers duties; growth in the share of financial derivatives trading in the overall structure of international exchange trading; achievement of new record trading indicators on international exchanges; tokenization of exchange trading processes and use of A.I. in the development of innovative exchange strategies for trading in derivative contracts.",2025-04-14,
Futures Trading and Corporate Financialization: A Quasi‐Natural Experiment From the Launch of China's Crude Oil Futures,"ABSTRACT This study examines the impact of China's crude oil futures trading on corporate decision‐making at the firm level. By analyzing Chinese listed companies spanning from 2010 to 2022, we identify a significant negative causality of China's crude oil futures trading on the degree of financialization in energy‐dependent enterprises. Mechanism analysis further demonstrates that China's crude oil futures trading substantially strengthens corporate risk management capacity, thereby reducing precautionary motivations for financial asset holdings. Specifically, energy‐dependent firms exhibit a marked propensity to reallocate short‐term liquidity from financial investments to crude oil futures positions. Heterogeneity analysis shows that the impact of China's crude oil futures on the financialization level of energy‐dependent firms is more pronounced among state‐owned enterprises and firms facing heightened competitive pressures. This paper offers micro‐level insights into the relationship between commodity futures trading and corporate decision‐making, emphasizing the significance of financial innovation in supporting China's real economy development.",2025-04-14,
The Influence of the International Oil Price on the EUR/USD Exchange Rate,"The study analyses the influence of the international oil price, focusing on the CBOE Crude Oil Volatility Index and Brent crude oil, on the main exchange rates: EUR/GBP, EUR/USD, GBP/USD, USD/CHF and USD/JPY. The analysis covers the period from 3 January 2022 to 8 December 2024 to examine the relationship between fluctuations in the oil market and the behaviour of exchange rates. The results show that the CBOE index directly impacts the EUR/GBP currency pair, reflecting the influence of global volatility on financial markets. The EUR/USD pair is influenced by the behaviour of the USD/JPY currency pair, showing the interconnection between the major currencies. Brent futures significantly affect the USD/CHF and USD/JPY currency pairs due to the importance of oil as a strategic commodity and the sensitivity of currencies such as the Yen and Swiss franc to fluctuations in energy prices. These relationships show the strong interconnectedness of global markets, highlighting the importance of informed risk management and decision-making strategies in interdependent environments.",2025-04-14,
Metaheuristic Optimization for Multi Item Supply Chains with Price Indices and Advance Payment,"Abstract Business organizations might gain competitive advantages by employing optimal strategies on various aspects of their operations such as pricing, sales effort, product quality, price index and backlogging. In the present article, collaborative and non-collaborative policies for a multi-item two-echelon supply chain (SC) with advance payment are proposed. The Wholesale Price Index (WPI) and Consumer Price Index (CPI) have a substantial impact on commodity prices. In order to maintain the customer purchasing power and profitability, a SC inventory model is developed to study pricing strategies by considering WPI at the manufacturer level and CPI at the retailer level. The centralized and decentralized policies have been suggested to account for the changes in the general price level to maintain consumer buying power. The price and sales team effort dependent demand is considered to evaluate the optimal gross profit, production rate, manufacturer’s cycle duration, shortage time, selling price and initiatives of sales team. The prediction of backlog periods is also helpful for uninterrupted operations and customer satisfaction. For optimization and sensitivity analysis, numerical results are computed and compared using two different metaheuristic approaches namely differential evolution algorithm and particle swarm optimization. The analysis shows that the WPI and CPI have a substantial impact on commodity prices, which makes the profit function vulnerable to variations in the inflation rate. For SC participants, the provision of advance payment arrangements may enhance the cash flow and financial predictability.",2025-04-09,
Kesesuaian Syariah Simpanan Sembako Terhadap Akad Wadiah di KSPPS Artha Yasmin Az-Zahra Jepara dalam Perspektif Fatwa DSN-MUI Nomor 02/DSN-MUI/IV/2000,"Basic food items such as rice, eggs, sugar, and milk play a crucial role in people's lives, especially during the month of Ramadan, when demand for these commodities increases significantly. This condition encourages the habit of storing food, which then gives birth to innovations in basic food savings products in Islamic financial institutions. This study aims to examine the application of the wadiah contract in basic food savings products at the Artha Yasmin Az Zahra Sharia Savings and Loans and Financing Cooperative (KSPPS), with reference to the fatwa of the National Sharia Council of the Indonesian Ulema Council (DSN-MUI) Number 02/DSN-MUI/IV/2000. The research method used is qualitative descriptive, with data collection techniques through interviews, observations, and documentation studies. The results of the study indicate that KSPPS Artha Yasmin Az Zahra applies the wadiah contract in the form of pure deposits, where the funds deposited by members are used to buy basic food items which will later be returned according to the agreed agreement. Although the implementation of the wadiah contract is in accordance with the provisions of the DSN-MUI fatwa, there are still obstacles, such as the lack of transparency in conveying information about the contract to members, which has the potential to affect their level of trust in this product. This study is expected to provide useful insights for KSPPS managers in improving the governance of basic food savings to be more in accordance with sharia principles and more transparent for its members.",2025-04-04,
Agricultural mechanization perspective in Pakistan: present challenges and digital future,"Agriculture constitutes a critical sector within the economic landscape of Pakistan, engaging 37.4% of the labour force and contributing 22.9% to the Gross Domestic Product (GDP), thus functioning as an essential element of the country's economic architecture and the sustenance of its citizens. The primary agricultural commodities, which encompass wheat, rice, cotton, maize, and sugarcane, occupy extensive tracts of agricultural land, thereby underscoring their paramount importance regarding food security, impacts on territory management and related landscape, as well as income generation through export activities. Despite its crucial role, the advancement of agricultural mechanization in Pakistan is significantly lacking, with the available agricultural power that is a little less than 1.6 kW ha-1, which is below the minimum required farm power of 1.82 kW ha-1. In this study, we seek to investigate the historical evolution, current scenario, and significant obstacles confronting agricultural mechanization in Pakistan, especially right now when innovative trends worldwide are pushing towards a progressive digitisation of the sector. Continuing with the conventional agricultural practices during the period of independence in 1947, the Green Revolution of the 1960s represented a crucial transformation towards mechanization, propelled by the indigenous manufacturing of tractors. Nevertheless, the pace of mechanization has slowed in recent years, primarily due to the prevalence of small farm sizes, economic constraints, and inadequate access to financial resources. While tasks such as land preparation and pesticide application have achieved notable levels of mechanization, fundamental operations including sowing, transplanting, weeding, and harvesting continue to be insufficiently mechanized. Significant initiatives, such as Laser Land Levelling in Punjab, show the considerable impact of focused interventions. To address the mechanization deficit, proposed strategies encompass the enhancement of local machinery manufacturing, the establishment of quality standards, the promotion of advanced imported equipment, an increase in farmer education, and the implementation of comprehensive government support through subsidies, tax benefits, and dedicated research and development efforts. A collaborative approach between governmental bodies and the private sector is imperative for fostering advancements in mechanization, thereby ensuring a more efficient, productive, and sustainable agricultural sector in Pakistan.",2025-04-04,
Measurement of riskiness of agricultural income - evidence from India's agrarian economy,"Farmers in developing countries face significant challenges due to price and production fluctuations, which impact their income and well-being. This study focuses on potato and onion farmers in India to estimate the income variability experienced by them. This research applies the Autoregressive Distributed Lag (ARDL) approach to investigate how fluctuations in market prices influence agricultural supply, with an emphasis on both short- and long-term effects. The demand elasticity (ε) for potato is equal to ‒1.32, while for onion, it is 0.54. This study finds that income volatility is a significant issue for potato and onion farmers, which could impact the long-term well-being of the farmers in India. Price fluctuations in agricultural production, combined with lower market prices, pose serious threats to farmers' income. To reduce risks, the study recommends comprehensive strategies, such as improved price stabilization initiatives, agricultural income insurance, and financial tools like commodity derivatives. In particular, it suggests considering index-based income insurance that provides compensation based on specific indicators, such as regional yield and price changes. These measures can enhance financial security and resilience for Indian farmers facing market uncertainties.",2025-04-03,
Economic growth and inflation,"The article examines economic growth, which characterizes the value increase in output in an economic system over a certain period of time. According to the authors, quantitative indicators of economic growth reflect only one aspect of the development of the economic system. To understand the ongoing economic processes, it is necessary to identify the qualitative characteristics of development, justifying the relationship of economic growth indicators with other macroeconomic indicators: inflation, the key rate of the Bank of Russia, unemployment, and others. This will allow us to assess the degree of balanced development of the entire economic system, its resistance to the disturbing effects of the external and internal economic environment. To ensure economic growth, a set of regulatory measures by the state is needed to support the activity of commercial structures. An analysis of various scientific and theoretical approaches of foreign and Russian economic scientists to the problem of achieving economic growth shows the relationship of this category with the instruments and methods of financial and monetary policy used by the executive authorities and the Bank of Russia. The article notes that the practical application of such methods does not fully meet the goals of economic development. The current model of the Russian economy is more consistent with the concept of oligarchic capitalism. This characterizes the increasing wealth of individuals and the social stratification of society. It is revealed that inflation occurs as a result of imbalance in commodity and foreign exchange markets. The objective basis and root cause of the inflationary process, according to the authors, is the devaluation of the ruble. Therefore, the inflationary process must be calculated taking into account the currency component (changes in the exchange rate).It is concluded that the problems of economic development have required drastic institutional changes in the country using a variety of financial instruments, special attention should be paid to the digitalization of economic processes, the implementation of major investment projects in the field of infrastructure.",2025-04-01,
